#Name	HomeValue2000	Income1999	Poverty1999	PopDensity2000	PopChange	Prcnt65+	Below18	PrcntFemale2000	PrcntHSgrads2000	PrcntCollege2000	Unemployed	PrcntBelow18	LifeExpectancy	FarmAcres
SD Charles Mix	49100	11502	26.9	9350	-1.6	17.3	2990	50.9	74.7	14.1	150	32	76.6	679852
SD Clark	36700	15597	14.8	4143	-0.6	22.2	1119	50.7	76.6	11.4	94	27	76.6	514048
SD Clay	79500	14452	21.2	13537	-2	10.1	2546	51.5	89.5	38.7	59	18.8	77.2	225902
SD Codington	84200	18761	9	25897	-0.4	14.1	6945	50.4	85.3	18.8	539	26.8	77.6	384527
SD Corson	21600	8615	41	4181	1	10.5	1544	49.5	76	11.3	125	36.9	73.4	1604504
SD Custer	89100	17945	9.4	7275	1.3	16	1752	48.9	88.9	24.4	154	24.1	75.8	476498
SD Davison	71600	17879	11.5	18741	-1	16.2	4753	51.5	83.9	20.2	238	25.4	77.8	274474
SD Day	33100	15856	14.3	6267	-2	23.5	1598	50.9	80	15.4	219	25.5	76	536160
SD Deuel	44400	15977	10.3	4498	-0.7	20.7	1140	50.1	81.9	13.3	98	25.3	76.6	310529
SD Dewey	36000	9251	33.6	5972	1.3	8.3	2324	51.1	77.4	12.2	324	38.9	73.4	1850727
SD Douglas	34600	13827	14.6	3458	-1.1	22.6	958	51.2	68.8	14.5	38	27.7	77.8	246947
SD Edmunds	42000	16149	13.8	4367	-0.8	22.2	1165	50.7	73.6	15.5	44	26.7	76.6	635324
SD Fall River	54300	17048	13.6	7453	-0.8	22.5	1703	47.7	82.5	19.2	131	22.8	75.8	978000
SD Faulk	31600	14660	18.1	2640	-3.7	22.9	701	50	73.7	13.1	28	26.6	76.6	571356
SD Grant	60400	16543	9.9	7847	-1.4	19.1	2090	50.6	79.5	14.8	169	26.6	77.6	359043
SD Gregory	32700	13656	20.1	4792	-3.9	24.8	1164	51.4	77.7	12	114	24.3	76.6	565516
SD Haakon	46200	16780	13.9	2196	-4.4	18	564	50.9	86.3	15.4	38	25.7	73.4	1325137
SD Hamlin	49300	16982	12.1	5540	0.2	19.2	1630	50.3	79.9	12.8	85	29.4	76.6	278763
SD Hand	45700	18735	9.2	3741	-2	24.2	919	51	80.1	15.6	44	24.6	76.6	811273
SD Hanson	45900	14778	16.6	3139	4.9	14.9	926	49.9	75.1	14	42	29.5	78.2	231423
SD Harding	47100	12794	21.1	1353	-4.5	13.4	440	48.9	87.8	17.8	31	32.5	77.1	1702146
SD Hughes	94400	20689	8	16481	0	13.7	4583	51.9	89.5	32	213	27.8	76.8	391370
SD Hutchinson	42000	15922	13	8075	-1	26.2	2008	51.3	71.7	14.1	103	24.9	78	479439
SD Hyde	33800	16356	12.3	1671	-4.2	22.3	428	49.5	80.5	16	23	25.6	76.6	532207
SD Jackson	31500	9981	36.5	2930	-2.9	11.6	1070	50.3	82.7	16.2	71	36.5	65.6	1354471
SD Jerauld	39000	16856	20.6	2295	-0.9	25.6	492	50.4	79.6	12.3	32	21.4	77.6	346432
SD Jones	38700	15896	15.8	1193	-6.3	18.2	313	49	86.2	17.8	23	26.2	76.6	588702
SD Kingsbury	42900	16522	10	5815	-2.1	24.2	1424	51	82.3	16.2	123	24.5	77.9	480507
SD Lake	73800	16446	9.7	11276	-0.2	16.3	2677	50.1	85.7	21.1	162	23.7	77.9	307210
SD Lawrence	87700	17195	14.8	21802	-0.8	14.6	5045	50.8	87.5	24	406	23.1	77	171380
SD Lincoln	104100	22304	4.4	24131	9.1	10.4	7160	50.1	89.4	25.5	199	29.7	77.7	318707
SD Lyman	44100	13862	24.3	3895	1.9	13.6	1250	48.9	81.1	15.9	119	32.1	76.6	943644
SD McCook	57400	16374	8.1	5832	0.5	19.5	1657	50.1	82.9	16.3	61	28.4	78.2	312485
SD McPherson	20100	12748	22.6	2904	-3.4	29.6	646	51.6	58.8	10.7	33	22.2	76.6	569047
SD Marshall	41300	15462	13.9	4576	-2.9	21.3	1237	50	75.6	16.2	142	27	76	504858
SD Meade	82200	17680	9.4	24253	-0.1	10.4	6877	49.5	87.7	16.8	379	28.4	77.1	2074294
SD Mellette	25800	10362	35.8	2083	0	13.2	735	49.7	78.1	16.6	53	35.3	65.6	654597
SD Miner	26500	15155	11.8	2884	-1.6	23.9	735	50.1	79.6	13.5	52	25.5	78.2	280289
SD Minnehaha	101200	20713	7.5	148281	1.4	11	38796	50.5	88.5	26	1593	26.2	77.7	406280
SD Moody	58500	16541	9.6	6595	-0.7	14.9	1921	50	84.7	17.4	195	29.1	77.9	283783
SD Pennington	90900	18938	11.5	88565	1.4	11.8	23565	50.4	87.8	25	1192	26.6	75.8	1043959
SD Perkins	33200	15734	16.9	3363	-2.3	23.7	811	50.9	80.3	14.6	65	24.1	73.4	1705233
SD Potter	42800	17417	12.6	2693	-5.5	25	620	50.8	80.8	16.2	55	23	76.8	530038
SD Roberts	43500	13428	22.1	10016	-0.1	17	3007	50.3	75.8	13.4	270	30	76	570758
SD Sanborn	30300	18301	14.9	2675	-2.2	19.5	687	48.3	82.7	14.8	43	25.7	77.6	346524
SD Shannon	25900	6286	52.3	12466	2.5	4.8	5647	50.1	70	12.1	437	45.3	65.6	1474029
SD Spink	34500	15728	12.8	7454	-3.7	18.9	1906	48.3	81.4	14.4	124	25.6	76.6	849345
SD Stanley	83900	20300	8.7	2772	-0.6	11	750	49.6	87.7	22.1	42	27.1	76.8	895781
SD Sully	55600	17407	12.1	1556	-2.7	17.4	397	48.7	84.9	16.4	26	25.5	76.8	599047
SD Todd	27500	7714	48.3	9050	2.4	5.8	3978	50.5	74.1	12.1	219	44	65.6	1084351
SD Tripp	50300	13776	19.9	6430	-2.4	19.7	1782	50.7	80.2	13.5	109	27.7	76.6	930351
SD Turner	57600	17343	7.2	8849	-1.3	20.4	2280	50.7	83.2	17	91	25.8	78.2	352353
SD Union	89600	24355	5.5	12584	1	13.5	3395	50.2	87.2	26.3	202	27	77.2	254028
SD Walworth	40300	15492	18.2	5974	-2.8	21.9	1440	51.5	78.1	15.8	106	24.1	76.8	437312
SD Yankton	77900	17312	9.6	21652	-0.3	14.6	5567	49.5	86.1	23	252	25.7	78	261071
SD Ziebach	38300	7463	49.9	2519	-0.1	7.5	1023	50.8	71.4	12	101	40.6	73.4	1499058
TN Anderson	87500	19009	13.1	71330	0.2	16.6	16535	52.3	78.9	20.8	1291	23.2	75.7	40928
TN Bedford	79000	16698	13.1	37586	2	12.7	9687	50.4	69.7	11.1	914	25.8	74.5	207434
TN Benton	67000	14646	15.6	16537	0.5	17.7	3641	51.6	65.8	6.3	616	22	74.2	68931
TN Bledsoe	67200	13889	18.1	12367	1.2	11.4	2854	45.2	66	7.1	136	23.1	74.4	95876
TN Blount	103900	19416	9.7	105823	2.3	14.1	24130	51.6	78.4	17.9	1923	22.8	76.6	93209
TN Bradley	91700	18108	12.2	87965	1	11.7	20831	51.2	73.3	15.9	1537	23.7	74.8	90067
TN Campbell	65600	13301	22.8	39854	0.5	15.1	9127	51.8	58.7	7	1312	22.9	73.6	30683
TN Cannon	79600	16405	12.8	12826	0.9	13.7	3259	51	67.2	8.4	224	25.4	74.5	102762
TN Carroll	60900	16251	13.9	29475	0.2	17.3	6840	52	67.9	11.1	1183	23.2	73.4	171660
TN Carter	77300	14678	16.9	56742	0.3	15	12119	51.4	69.1	12.8	1288	21.4	74.9	38894
TN Cheatham	109100	18882	7.4	35912	1.8	8.6	9930	49.9	75.4	15.1	435	27.7	74.3	68158
TN Chester	78900	15756	14.4	15540	1.1	13.6	3762	51.4	67.8	11.2	326	24.2	73.5	73112
TN Claiborne	72000	13032	22.6	29862	1	13.4	7044	51.7	60.3	8.9	569	23.6	73.6	143971
TN Clay	56400	13320	19.1	7976	-0.7	15.7	1714	51.4	58.4	6.8	324	21.5	74.4	71606
TN Cocke	73600	13881	22.5	33565	1	13.6	7661	51.4	61.2	6.2	1127	22.8	72.3	75222
TN Coffee	82200	18137	14.3	48014	1.4	14.6	12046	51.3	73.7	17.5	977	25.1	75	135615
TN Crockett	65200	14600	16.9	14532	0.1	15.8	3654	51.7	65.1	9.1	398	25.1	73.4	150600
TN Cumberland	91400	16808	14.7	46802	2.7	20.5	10011	51.4	72.5	13.7	1011	21.4	76.3	100352
TN Davidson	115800	23069	13	569891	-0.8	11.1	126447	51.6	81.5	30.5	8815	22.2	73.6	52248
TN Decatur	58300	17285	16	11731	-0.3	18.2	2549	51.4	63.6	7.3	396	21.7	73.7	88399
TN DeKalb	82600	17217	17	17423	0.7	14.3	4052	50.6	64.6	11.3	499	23.3	74.5	99160
TN Dickson	96200	18043	10.2	43156	1.6	11.7	11486	51	72.6	11.3	694	26.6	74	148565
TN Dyer	74900	16451	15.9	37279	-0.4	13.4	9597	52.1	66.3	12	885	25.7	73.3	234181
TN Fayette	100100	17969	14.3	28806	6	13	7409	50.9	70.6	12.8	532	25.7	74.1	270666
TN Fentress	56500	12999	23.1	16625	1.1	13.7	4023	51	57.3	8.3	710	24.2	73.5	70174
TN Franklin	82600	17987	13.2	39270	1.3	15.2	9043	51.3	73.8	15.3	822	23	75.5	131976
TN Gibson	66300	16320	12.8	48152	-0.3	17.7	11538	52.8	70.9	10.1	1361	24	73.4	278080
TN Giles	72900	17543	11.7	29447	0.8	14.5	7220	51.4	72.5	10.6	641	24.5	74.1	249257
TN Grainger	74000	14505	18.7	20659	1.3	12.5	4732	50.2	60.1	7.8	436	22.9	73.7	96842
TN Greene	80400	15746	14.5	62909	0.8	14.8	13991	51.3	69.6	12.8	2005	22.2	74.1	225676
TN Grundy	52300	12039	25.8	14332	-0.3	14	3601	50.9	55.2	7.1	323	25.1	74.3	36274
TN Hamblen	85300	17743	14.4	58128	0.4	13.3	13530	50.7	69.3	13.3	1314	23.3	73.6	51996
TN Hamilton	94700	21593	12.1	307896	-0.2	13.8	71442	52.2	80.7	23.9	4944	23.2	74.4	56822
TN Hancock	53900	11986	29.4	6786	-0.3	15.7	1570	51.3	55.9	10.2	178	23.1	73.7	67844
TN Hardeman	59900	13349	19.7	28105	0.9	12.6	6722	46.1	66.7	7.8	882	23.9	73.5	166241
TN Hardin	69200	15598	18.8	25578	0.8	16.1	5897	50.8	66.9	9.8	853	23.1	74.2	115598
TN Hawkins	82500	16073	15.8	53563	1.5	13.2	12479	51.4	70.4	10	1257	23.3	74.5	146888
TN Haywood	68400	14669	19.5	19797	-0.2	13.8	5380	53.3	65.6	11.1	764	27.2	73.5	211984
TN Henderson	74000	17019	12.4	25522	0.8	14.2	6212	51.8	69.3	9.3	872	24.3	73.7	152034
TN Henry	75800	15855	14.3	31115	-0.1	18.2	6913	51.7	70.5	12.1	948	22.2	73.4	185304
TN Hickman	79600	14446	14.3	22295	2	12	5503	47.1	64.3	6.7	462	24.7	74	127829
TN Houston	63300	15613	18.1	8088	-2.1	16.7	1970	50.6	70.1	10.3	255	24.4	74.2	48735
TN Humphreys	76000	17757	10.8	17929	1	14.8	4282	50.8	72	9.3	551	23.9	74	121983
TN Jackson	68800	15020	18.1	10984	1.6	15	2446	50.6	61.6	8.4	403	22.3	74.4	83243
TN Jefferson	88800	16841	13.4	44294	1.8	12.9	10140	50.6	71	12.8	1008	22.9	75.5	98067
TN Johnson	72200	13388	22.6	17499	0.8	15	3449	46.6	58.4	6.9	689	19.7	74.9	49475
TN Knox	98500	21875	12.6	382032	0.9	12.7	85093	51.7	82.5	29	5153	22.3	74.7	87809
TN Lake	53000	10794	23.6	7954	-2.4	13.3	1411	39.8	56	5.4	159	17.7	74.1	89635
TN Lauderdale	59900	13682	19.2	27101	-0.3	12.1	6719	48.1	62.3	7.7	847	24.8	71.6	192010
TN Lawrence	72400	15848	14.6	39926	0.2	14.4	10453	51.5	65.5	8.7	2326	26.2	74.9	214001
TN Lewis	66700	14664	13.4	11367	0.6	13.6	2938	50.8	69.5	8.5	398	25.8	74.4	36801
TN Lincoln	73900	18837	13.6	31340	0.9	15.6	7478	51.6	69.6	11.9	591	23.9	74.1	276119
TN Loudon	97300	21061	10	39086	3	16.2	8560	51.3	75.6	17	621	21.9	74.4	73976
TN McMinn	80300	16725	14.5	49015	1.7	14.3	11727	51.7	69.3	10.8	1270	23.9	75.3	127322
TN McNairy	61400	16385	15.9	24653	0	15.9	5825	51.5	68.5	8.8	590	23.6	73.6	130146
TN Macon	67700	15286	15.1	20386	2.4	12.7	5314	50.6	60.2	5.6	355	26.1	74.4	135028
TN Madison	85100	19389	14	91837	0.6	12.3	23717	52.1	78.8	21.5	2014	25.8	73.8	145586
TN Marion	76100	16419	14.1	27776	-0.1	12.9	6594	51.1	64.6	9.5	611	23.7	73	51060
TN Marshall	83800	17749	10	26767	1.3	12.6	6844	51.2	73.6	10.6	448	25.6	74.2	166840
TN Maury	96800	19365	10.9	69498	1.3	12	18234	51.4	77.9	13.6	1321	26.2	74.1	242575
TN Meigs	87200	14551	18.3	11086	1	11.5	2786	50	63.5	7	368	25.1	74.3	48977
TN Monroe	79400	14951	15.5	38961	2.3	13.2	9639	50.7	66.7	10.1	992	24.7	74.2	96929
TN Montgomery	85100	17265	10	134768	0.2	7.8	38329	49.7	84.3	19.3	1803	28.4	75.3	164575
TN Moore	85600	19040	9.6	5740	2.6	15.5	1340	50.5	76.6	11.8	65	23.3	75	52065
TN Morgan	60200	12925	16	19757	1.2	11.5	4583	46.7	63.8	6	507	23.2	73.4	45997
TN Obion	67500	17409	13.3	32450	-0.3	15.2	7606	51.7	71	10.3	939	23.4	74.1	242251
TN Overton	71600	13910	16	20118	0.3	15	4630	51	59	8.3	558	23	73.5	109404
TN Perry	62600	16969	15.4	7631	-1.7	16.4	1862	50.2	63.8	7.1	287	24.4	73.7	54390
TN Pickett	66900	14681	15.6	4945	2.1	17.8	1057	50.8	62.9	9.1	140	21.4	74.4	37499
TN Polk	72100	16025	13	16050	1.1	14.3	3627	50.4	62.2	7.5	346	22.6	74.2	32122
TN Putnam	92600	16927	16.4	62315	1.4	13.2	13879	50.4	72.6	20.2	1426	22.3	75.1	112122
TN Rhea	76700	15672	14.7	28400	0.7	13.8	6741	51.5	65.3	9.1	710	23.7	74.3	56049
TN Roane	86500	18456	13.9	51910	0.2	16.1	11595	51.6	74.8	14.8	1136	22.3	75.3	53110
TN Robertson	107300	19054	9	54433	3	10.8	14582	50.3	74.8	11.9	960	26.8	74.4	236385
TN Rutherford	113500	19938	9	182023	4.5	7.5	48111	50.2	81.8	22.9	2563	26.4	75.7	195295
TN Scott	60300	12927	20.2	21127	2	11.3	5506	50.7	60.7	7.5	763	26.1	73.4	29746
TN Sequatchie	80300	16468	16.5	11370	2.2	12.3	2792	50.4	66.7	10.2	195	24.6	74.3	25557
TN Sevier	112500	18064	10.7	71170	3.6	12.6	16373	51	74.6	13.5	2324	23	75.9	71677
TN Shelby	92200	20856	16	897472	-0.2	10	253270	52.2	80.8	25.3	16745	28.2	72.5	128132
TN Smith	87100	17473	12.2	17712	1.6	13.4	4521	50.8	67.5	9.3	373	25.5	74.4	138256
TN Stewart	76800	16302	12.4	12370	2.3	14.9	2960	50.2	74.3	10.2	278	23.9	74.2	56517
TN Sullivan	88000	19202	12.9	153048	-0.2	15.9	33411	51.7	75.8	18.1	3057	21.8	75.2	86402
TN Sumner	125800	21164	8.1	130449	3	10.7	34337	51	79.7	18.6	1875	26.3	76	181570
TN Tipton	91500	17952	12.1	51271	3.3	9.9	15025	50.8	74.6	10.8	750	29.3	73.4	169788
TN Trousdale	76800	15838	13.4	7259	1.2	14.3	1757	50.8	61.4	8.9	113	24.2	74.4	51638
TN Unicoi	82400	15612	13.1	17667	0.3	18.1	3625	51.2	67.7	10.6	457	20.5	75.5	7501
TN Union	79000	13375	19.6	17808	3.4	10.8	4576	50.3	56.3	5.8	278	25.7	73.7	51290
TN Van Buren	55800	17497	15.2	5508	-0.6	14	1265	50.2	62	7.8	149	23	74.4	31675
TN Warren	72800	15759	16.6	38276	0.8	13.9	9280	50.9	67.2	9.1	888	24.2	74.7	162041
TN Washington	96700	19085	13.9	107198	1.1	13.9	22837	51.3	77.2	22.9	1895	21.3	75.5	119670
TN Wayne	56600	14472	16.3	16842	0	13.6	3599	45.1	61.3	8	918	21.4	74.4	130012
TN Weakley	67900	15408	16	34895	-0.7	14.5	7551	51.5	70.3	15.3	1042	21.6	75	222524
TN White	76300	14791	14.3	23102	1.1	15.3	5439	51	64.8	7.9	524	23.5	74.4	119077
TN Williamson	208400	32496	4.7	126638	5.7	7.7	37350	50.8	90.1	44.4	1306	29.5	77.3	197934
TN Wilson	136600	22739	6.7	88809	3.3	9.7	23305	50.6	80.9	19.6	1312	26.2	75	210657
TX Anderson	58900	13838	16.5	55109	0.4	11.7	11431	39.1	64.4	11.1	1252	20.7	74.7	353969
TX Andrews	42500	15916	16.4	13004	-1.6	12.5	4101	50.9	68	12.4	601	31.5	74.8	828859
TX Angelina	63600	15876	15.8	80130	0.5	12.6	22156	50.9	71.2	14.7	2123	27.7	74.6	117920
TX Aransas	79000	18560	19.9	22497	0.9	19.7	5346	50.3	74.6	16.7	556	23.8	75.7	18758
TX Archer	61200	19300	9	8854	0.8	13.9	2496	50	81.1	15.9	130	28.2	75	610877
TX Armstrong	60500	17151	10.6	2148	-0.9	19.2	559	51.8	82.4	20.5	17	26	75.2	560412
TX Atascosa	52900	14276	20.2	38628	4.2	10.8	12255	50.9	65.2	10.5	720	31.7	75.2	708067
TX Austin	85000	18140	12.1	23590	3.7	14.8	6375	50.9	74.5	17.3	514	27	75.9	367432
TX Bailey	37300	12979	16.7	6594	-0.3	15.2	1997	51	61.5	9.3	171	30.3	75.9	408936
TX Bandera	99000	19635	10.8	17645	5.1	16.2	4353	50.2	84.8	19.4	182	24.7	76.9	364190
TX Bastrop	93400	18146	11.6	57733	7.5	10.3	16144	48.7	76.9	17	704	28	75.3	392255
TX Baylor	34200	16384	16.1	4093	-2.6	24.1	958	52.8	70.1	12.1	73	23.4	74.3	377871
TX Bee	47200	10625	24	32359	-0.1	10.2	7565	40.3	73.7	12.2	660	23.4	74.8	421287
TX Bell	78100	17219	12.1	237974	0.7	8.8	68738	49.8	84.7	19.8	3180	28.9	75.1	406772
TX Bexar	74100	18363	15.9	1392931	1.8	10.4	396473	51.4	76.9	22.7	21599	28.5	75.3	447824
TX Blanco	93000	19721	11.2	8418	4.1	16.7	2050	50.6	80.6	22.2	83	24.4	75.6	381412
TX Borden	43100	18364	14	729	-7.1	16.3	179	49.2	83.9	21.4	9	24.6	76.7	514623
TX Bosque	57900	17455	12.7	17204	2.4	20.5	4201	51.1	75.9	15.4	256	24.4	74.9	548359
TX Bowie	66600	17357	17.7	89306	0.7	13.8	22171	49.6	77.3	16.1	2270	24.8	74.7	280762
TX Brazoria	88500	20021	10.2	241767	3.3	8.8	69103	48.4	79.5	19.6	7045	28.6	75.4	566809
TX Brazos	96000	16212	26.9	152415	-0.5	6.7	32735	49.5	81.3	37	1319	21.5	76.6	265163
TX Brewster	67000	15183	18.2	8866	-0.1	14.6	1964	50.2	78.6	27.7	128	22.2	76.8	2396979
TX Briscoe	30000	14218	16	1790	-4.5	19.3	485	51.3	74.8	17.5	33	27.1	75	533084
TX Brooks	34600	10234	40.2	7976	-3.7	14.4	2517	51.5	49.9	6.8	304	31.6	75.6	458487
TX Brown	47800	15624	17.2	37674	0.3	16.4	9731	50.7	74.6	15	655	25.8	74.8	516058
TX Burleson	55900	16616	17.2	16470	1	16.1	4423	51.4	71.1	13.2	308	26.9	74.6	321657
TX Burnet	93600	18850	10.9	34147	5.9	17.9	8368	51.6	77.8	17.4	378	24.5	76	537198
TX Caldwell	68000	15099	13.1	32194	6.2	12.5	9126	50.6	71.3	13.3	557	28.3	75.2	265269
TX Calhoun	56400	17125	16.4	20647	-0.2	13.3	5880	49.8	69	12.1	563	28.5	75.5	213390
TX Callahan	49800	15204	12.2	12905	-0.3	17	3378	51.4	79.3	12.3	264	26.2	74.8	488662
TX Cameron	53000	10960	33.1	335227	2.9	11.1	113295	52.1	55.2	13.4	12463	33.8	77.1	368528
TX Camp	61000	16500	20.9	11549	-0.4	16.3	3102	51	69.5	12.2	353	26.9	72.8	63021
TX Carson	52400	19368	7.3	6516	-0.6	15.7	1816	51.1	82.6	15.5	128	27.9	75.2	467605
TX Cass	53300	15777	17.7	30438	0.1	17.6	7569	52	75	12	1141	24.9	74.3	170684
TX Castro	51000	14457	19	8285	-1.9	12.7	2744	49.9	65.4	14.7	164	33.1	76.3	558662
TX Chambers	85000	19863	11	26031	3.2	9	7524	49.8	76.9	12.1	510	28.9	73.8	241933
TX Cherokee	53700	13980	17.9	46659	1.2	15.1	12276	49.7	68.4	11.4	865	26.3	74.4	283241
TX Childress	44900	12452	17.6	7688	-0.5	15.8	1699	41.2	65	8.6	99	22.1	74	393162
TX Clay	48100	16361	10.3	11006	1.6	16.1	2735	51.5	80.4	13.9	156	24.9	74.7	603652
TX Cochran	25700	13125	27	3730	-1.1	14.4	1176	52.1	62.7	10.2	73	31.5	75.9	402071
TX Coke	48100	16734	13	3864	0.2	24.1	942	50	74.2	14.7	43	24.4	75.5	482480
TX Coleman	32300	14911	19.9	9235	-2.2	23	2182	52	71	11.7	214	23.6	74.6	736739
TX Collin	155500	33345	4.9	491675	10.1	5.3	141307	50	91.8	47.3	5713	28.7	77.6	270434
TX Collingsworth	35400	15318	18.7	3206	-2.2	22	846	51.8	71.3	15.3	17	26.4	74	488382
TX Colorado	59200	16910	16.2	20390	-0.8	18.6	5219	51.2	69.1	14.4	313	25.6	75.6	520627
TX Comal	117000	21914	8.6	78021	5.8	14.8	19914	51	83.9	26.2	979	25.5	77.4	183241
TX Comanche	43600	14677	17.3	14026	-2	20.3	3551	51.1	70.2	13	224	25.3	75.6	535278
TX Concho	43600	15727	11.9	3966	-1.2	13.8	638	35.6	59.3	14.1	38	16.1	74.6	635584
TX Cooke	73100	17889	14.1	36363	2.3	14.9	9942	50.7	79.2	15.7	522	27.3	76	478860
TX Coryell	69500	14410	9.5	74978	-0.7	5.7	19673	48.7	81.1	12.4	805	26.2	76.8	646407
TX Cottle	26900	16212	18.4	1904	-5.2	25.6	456	53.4	66.1	15.3	43	23.9	74.9	506868
TX Crane	39100	15374	13.4	3996	-1.9	10.9	1274	51.3	68.7	12.8	176	31.9	73.8	491112
TX Crockett	52400	14414	19.4	4099	-4.4	12.9	1185	50.5	62.1	10.4	165	28.9	76.2	1935171
TX Crosby	35600	14445	28.1	7072	-2.4	15.6	2174	52.3	61.8	10.5	175	30.7	75	562839
TX Culberson	32500	11493	25.1	2975	-6.8	11.2	957	49.3	56.1	13.9	99	32.2	76.1	1569227
TX Dallam	44600	13653	14.1	6222	-1	10.3	1978	49.5	65	9.6	97	31.8	75.1	931529
TX Dallas	92700	22603	13.4	2218899	1.2	8.1	619031	50.1	75	27	42468	27.9	74.4	148862
TX Dawson	39300	15011	19.7	14985	-1	14.3	3837	44.6	65.2	10.5	395	25.6	76.7	605260
TX Deaf Smith	46600	13119	20.6	18561	-1.8	12.1	6181	51.1	60.9	11.8	449	33.3	76.3	879692
TX Delta	39400	15080	17.6	5327	1	17.7	1363	51.4	75.5	13.9	116	25.6	75.1	120136
TX Denton	133200	26895	6.6	432976	7.7	5	120110	50.3	89.4	36.6	4770	27.7	76.9	362712
TX DeWitt	47100	14780	19.6	20013	0.5	18.9	4760	48.7	67.9	11.8	379	23.8	75.7	560093
TX Dickens	22900	13156	17.4	2762	-2.1	19	512	43.3	70.6	8.4	47	18.5	75	532948
TX Dimmit	29000	9765	33.2	10248	-0.8	12.6	3401	51.5	54.3	10.1	572	33.2	75.2	517641
TX Donley	46100	15958	15.9	3828	0.2	21.7	856	51.4	78.2	15.8	55	22.4	74	643151
TX Duval	28600	11324	27.2	13120	-0.9	14	3868	49.8	59.7	8.9	750	29.5	75.1	844195
TX Eastland	33100	14870	16.8	18297	-0.8	20.9	4247	51.5	72.6	12.7	422	23.2	73.8	497171
TX Ector	47700	15031	18.7	121123	0.1	10.9	36820	51.4	68	12	6337	30.4	74.2	462315
TX Edwards	38200	12691	31.6	2162	-5.5	16.2	616	49.4	67.1	17.3	49	28.5	76.1	1141833
TX Ellis	91400	20212	8.6	111360	4.7	9.2	33644	50.4	77.8	17.1	1715	30.2	75.1	425717
TX El Paso	69600	13421	23.8	679622	1.2	9.7	217423	51.8	65.8	16.6	27058	32	76.8	243684
TX Erath	67600	16655	16	33001	0	13.4	8112	50.6	77.1	25	408	24.6	76.4	613323
TX Falls	38800	14311	22.6	18576	-1.2	16.9	5136	53.8	66.2	9.6	274	27.6	73.2	362205
TX Fannin	54500	16066	13.9	31242	1	16.1	7250	46.8	72.5	12.6	707	23.2	73.9	444661
TX Fayette	71600	18888	11.4	21804	1.6	22	5057	51.6	71.3	14.6	326	23.2	75.9	515108
TX Fisher	31300	15120	17.5	4344	-1.5	22.7	1040	51.8	73.3	12.4	65	23.9	74.9	575095
TX Floyd	37900	14206	21.5	7771	-2.7	16.2	2439	51.6	63.5	12.3	203	31.4	75	555923
TX Foard	26100	14799	14.3	1622	-0.1	23.1	419	53.6	70	10.5	19	25.8	74.9	307730
TX Fort Bend	115100	24985	7.1	354452	7.5	5.7	113472	50.2	84.3	36.9	5958	32	77.2	431582
TX Franklin	66100	17563	15.6	9458	2.8	18.5	2299	51.5	77.4	16.2	174	24.3	74.6	134979
TX Freestone	56000	16338	14.2	17867	2	16.4	4222	47.5	76.8	10.9	331	23.6	73.9	422548
TX Frio	35100	16069	29	16252	0.9	10.6	4660	45.2	57.7	8.4	453	28.7	75.2	662124
TX Gaines	48000	13088	21.7	14467	-0.7	10.3	5065	50.8	56.2	10.5	361	35	76.7	772172
TX Galveston	85200	21568	13.2	250158	2.3	11.1	66869	51	80.9	22.7	7965	26.7	73.6	104941
TX Garza	38700	12704	22.3	4872	2.9	14.1	1366	47.1	70.1	10	114	28	75	514384
TX Gillespie	106400	20423	10.2	20814	2.2	25.5	4487	52.7	80.1	22.9	223	21.6	77.4	693933
TX Glasscock	56400	18279	14.7	1406	-2.5	9	471	47.9	69.9	18.7	18	33.5	75.8	436528
TX Goliad	57400	17126	16.4	6928	2.1	17.5	1793	50.3	72.4	12.3	116	25.9	75.7	433568
TX Gonzales	48500	14269	18.6	18628	0.6	16.8	5207	50.4	62	10.7	239	28	75.2	709657
TX Gray	36700	16702	13.8	22744	-2.9	18.1	5462	49	75.3	11.9	673	24	74.5	560796
TX Grayson	69100	18862	11.3	110595	2.3	15.1	27975	51.6	80.2	17.2	2255	25.3	74.7	417356
TX Gregg	76800	18449	15.1	111379	0.9	13.2	29791	51.6	79.1	19.5	4408	26.7	73.9	51388
TX Grimes	56700	14368	16.6	23552	3.6	13.7	5837	46	67.3	10.3	623	24.8	74	370308
TX Guadalupe	91400	18430	9.8	89023	4.2	11.3	25330	50.8	78.1	19.1	1054	28.5	76.8	347763
TX Hale	53800	13655	18	36602	-1.5	12.9	11070	49.4	65.9	14.4	845	30.2	75.8	586515
TX Hall	24100	13210	26.3	3782	1.7	21.5	1029	52.2	61.7	10.3	83	27.2	75	447833
TX Hamilton	47300	16800	14.2	8229	-2.4	23.6	1959	51.7	73.8	16.8	157	23.8	74.9	465847
TX Hansford	49900	17408	16.4	5369	-1.7	15.2	1574	50.9	69.9	18.6	86	29.3	76	582092
TX Hardeman	29300	16824	17.8	4724	-2.7	20.2	1198	52.8	70.7	12.8	91	25.4	74	322727
TX Hardin	75800	17962	11.2	48073	1.4	12.2	13358	50.8	79.5	13	1825	27.8	74.2	65442
TX Harris	87000	21435	15	3400578	1.8	7.4	984556	50.2	74.6	26.9	82594	29	74.2	311005
TX Harrison	68400	16702	16.7	62110	0.1	13.1	16669	51.5	78.3	15.4	1916	26.8	74.2	214495
